void,rock,paper,scissors
0,3415,3326,3259
0,3425,3314,3261
0,3432,3306,3262
0,3439,3296,3265
0,3438,3290,3272
0,3405,3338,3257
0,3434,3285,3281
0,3434,3285,3281
0,3436,3298,3266
0,3443,3308,3249
0,3435,3287,3278
0,3440,3328,3232
0,3446,3331,3223
0,3436,3325,3239
0,3453,3331,3216
0,3453,3325,3222
0,3451,3330,3219
0,3428,3334,3238
0,3417,3333,3250
0,3407,3338,3255
0,3397,3344,3259
0,3389,3350,3261
0,3382,3359,3259
0,3381,3361,3258
0,3378,3362,3260
0,3443,3330,3227
0,3386,3354,3260
0,3410,3327,3263
0,3400,3339,3261
0,3417,3320,3263
0,3428,3302,3270
0,3434,3290,3276
0,3440,3277,3283
0,3447,3260,3293
0,3425,3309,3266
0,3450,3272,3278
0,3449,3286,3265
0,3444,3265,3291
0,3446,3304,3250
0,3445,3311,3244
0,3446,3311,3243
0,3455,3322,3223
0,3462,3324,3214
0,3449,3325,3226
0,3435,3326,3239
0,3418,3331,3251
0,3416,3314,3270
0,3412,3313,3275
0,3409,3315,3276
0,3413,3317,3270
0,3408,3321,3271
0,3446,3296,3258
0,3406,3322,3272
0,3417,3312,3271
0,3431,3303,3266
0,3444,3294,3262
0,3456,3283,3261
0,3467,3282,3251
0,3477,3291,3232
0,3478,3290,3232
0,3477,3290,3233
0,3473,3294,3233
0,3468,3301,3231
0,3467,3314,3219
0,3450,3314,3236
